tcin,sku,issue,detail
93197978.0,,UNMAPPED_ITEM,category inferred from Target dept 3 (not in dim_product) | NOT in dim_product (is_in_target) | in inventory feed but NEVER sold
1011824789.0,,UNMAPPED_ITEM,category inferred from Target dept 3 (not in dim_product) | NOT in dim_product (is_in_target) | Target PO PLAN has 43968 future ordered units but no RDZ item exists | in inventory feed but NEVER sold | Target ITEM STATE=READY_FOR_ORDER
1012914812.0,,UNMAPPED_ITEM,category inferred from Target dept 3 (not in dim_product) | NOT in dim_product (is_in_target) | in inventory feed but NEVER sold | Target ITEM STATE=READY_FOR_ORDER
1012914813.0,,UNMAPPED_ITEM,category inferred from Target dept 3 (not in dim_product) | NOT in dim_product (is_in_target) | in inventory feed but NEVER sold | Target ITEM STATE=READY_FOR_ORDER
94928289.0,P-60WIP-DSN-ALP,NO_PO_8WK,po_week 2026-09-06 expected 24 lead 4
94928289.0,P-60WIP-DSN-ALP,NO_PO_8WK,po_week 2026-09-13 expected 12 lead 11
94928289.0,P-60WIP-DSN-ALP,NO_PO_8WK,po_week 2026-09-20 expected 72 lead 18
1011824789.0,,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-09-20 expected 3,024 lead 18"
1012188490.0,P-30WIP-LIT-FRA,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,po_week 2026-09-20 expected 864 lead 19
1012188491.0,P-30WIP-BAB-FRA,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-09-20 expected 1,608 lead 19"
94928289.0,P-60WIP-DSN-ALP,NO_PO_8WK,po_week 2026-09-27 expected 528 lead 25
94928290.0,P-DIS-SS-BRU,PLANNED_FORWARD,"po_week 2026-09-27 expected 2,568 lead 25"
1011824789.0,,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-09-27 expected 26,268 lead 25"
1012188490.0,P-30WIP-LIT-FRA,NEW_TCIN_NO_HISTORY|LAUNCH_FILL,"po_week 2026-09-27 expected 2,592 lead 26"
