po_week,tcin,expected_po_units,lead_days,plan_business_d,n_dc,stream,primary_signal,fallback_rung,flags,lag1_rep,mean4_rep,mean8_rep,weeks_ordered_8,grade,low,high,band_source,band_pct,confidence,sku,description,item_group,ship_offset_days,casepack,item_state,mapping_confidence,ship_week,expected_cases,po_week_label,fiscal_week
2026-08-30,89854821,2058.0,0,,29,created,order_feed,created,,2154.0,1749.0,1789.5,8,A,,,,0.15,A · high · ±15%,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,5,6.0,READY_FOR_LAUNCH,exact,2026-08-30,343.0,2026-08-30,FY2026 W31
2026-08-30,89854822,0.0,,,,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-60WIP-AP-LAV,"Biom Lavender Ease All Purpose Cleaning Wipes Refill - 60ct: Safe for Sensitive Skin, Contains Naturally Derived Ingredients, Removes Grease",D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-08-30,0.0,2026-08-30,FY2026 W31
2026-08-30,89854823,1296.0,0,,29,created,order_feed,created,,2340.0,1321.5,1105.5,8,A,,,,0.15,A · high · ±15%,P-DIS-WHI,"Biom Refillable Plant-Based Wipes Dispenser - White: BPA-Free, Multi-Surface Use, Silicone Components",D3-C2,5,6.0,READY_FOR_LAUNCH,exact,2026-08-30,216.0,2026-08-30,FY2026 W31
2026-08-30,89854824,0.0,,,,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,P-60WIP-AP-GRA,"Biom Grapefruit Zest All Purpose Cleaning Wipes Refill - 60ct: Safe for Sensitive Skin, Contains Naturally Derived Ingredients, Multi-Surface Cleaner",D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-08-30,0.0,2026-08-30,FY2026 W31
2026-08-30,89854825,642.0,0,,29,created,order_feed,created,,1320.0,1722.0,1765.5,8,A,,,,0.15,A · high · ±15%,P-DIS-TAN,Biom Refillable Plant-Based Wipes Dispenser - Sand,D3-C2,5,6.0,READY_FOR_LAUNCH,exact,2026-08-30,107.0,2026-08-30,FY2026 W31
2026-08-30,89854826,1536.0,0,,29,created,order_feed,created,,1020.0,1401.0,2289.0,8,A,,,,0.15,A · high · ±15%,P-60WIP-AP-STL,Biom Plant Based Refillable All Purpose Wipes - Santal Escape - 60ct,D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-08-30,128.0,2026-08-30,FY2026 W31
2026-08-30,93197977,324.0,0,,29,created,order_feed,created,,456.0,498.0,877.5,8,A,,,,0.15,A · high · ±15%,P-60WIP-AP-NER,Biom Plant Based Refillable All Purpose Wipes - Neroli Dream - 60ct,D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-08-30,27.0,2026-08-30,FY2026 W31
2026-08-30,93197978,0.0,,,,forecast,none,no_signal,NO_SIGNAL,0.0,0.0,0.0,0,C,0.0,0.0,,0.5,C · directional · ±50%,,Biom Refillable Wipe Dispenser,D3-C2,5,,,unmapped,2026-08-30,,2026-08-30,FY2026 W31
2026-08-30,93197979,2724.0,0,,29,created,order_feed,created,,3096.0,2217.0,2322.0,8,A,,,,0.15,A · high · ±15%,P-60WIP-AP-FRA,Biom Plant Based Refillable All Purpose Wipes - Fragrance Free - 60ct,D3-C2,5,12.0,READY_FOR_LAUNCH,exact,2026-08-30,227.0,2026-08-30,FY2026 W31
2026-08-30,94643458,6.0,0,,7,created,order_feed,created,,24.0,27.0,24.0,8,A,,,,0.15,A · high · ±15%,P-DIS-DGR,"Biom Refillable Wipes Dispenser - Hunter Green: BPA-Free, Silicone Material",D3-C2,5,6.0,READY_FOR_LAUNCH,exact,2026-08-30,1.0,2026-08-30,FY2026 W31
