tcin,dpci,target_description,vendor_style,biom_sku,rdz_item,rdz_base_qty_multiplier,upc,casepack,casepack_source,shippack,category,sub_category,status_active_in_sales,status_active_in_pos,mapping_confidence,mapping_rule,first_sale,last_sale,last_po,last_inventory_date,units_since_2026_06_01,open_po_units,plan_future_ordered_q,latest_store_on_hand,latest_on_purchase,rdz_qty_remaining,rdz_units_per_case,item_state,launch_date,in_sales,in_inventory,in_orders,in_po_plan,in_forecast,notes
89854821,003-02-1080,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,P-DIS-EUC,P-DIS-EUC,P-DIS-EUC,1,850056298049,6.0,orders.VENDOR_CASEPACK_Q,6.0,Dispensers,Full Size,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2025-01-11,2026-09-01,2026-08-30,2026-09-01,22859.0,13980.0,27630.0,10598,5736,22654.0,6.0,READY_FOR_LAUNCH,2024-04-28 07:00:00,True,True,True,True,True,
89854822,003-02-9213,"Biom Lavender Ease All Purpose Cleaning Wipes Refill - 60ct: Safe for Sensitive Skin, Contains Naturally Derived Ingredients, Removes Grease",P-60WIP-AP-LAV,P-60WIP-AP-LAV,P-60WIP-AP-LAV,1,850056298087,12.0,RDZ Units per Case (no Target PO/plan casepack),,Cleaning,APC,True,False,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2025-01-11,2026-08-30,,2026-09-01,55.0,0.0,0.0,0,0,531.0,12.0,READY_FOR_LAUNCH,2024-04-28 07:00:00,True,True,False,False,False,"RDZ inbound: 10/1/2026 qty 30,000"
89854823,003-02-1327,"Biom Refillable Plant-Based Wipes Dispenser - White: BPA-Free, Multi-Surface Use, Silicone Components",P-DIS-WHI,P-DIS-WHI,P-DIS-WHI,1,850036134121,6.0,orders.VENDOR_CASEPACK_Q,6.0,Dispensers,Full Size,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2025-01-11,2026-09-01,2026-08-30,2026-09-01,17875.0,10164.0,23520.0,13050,4698,2008.0,6.0,READY_FOR_LAUNCH,2024-04-28 07:00:00,True,True,True,True,True,
89854824,003-02-7792,"Biom Grapefruit Zest All Purpose Cleaning Wipes Refill - 60ct: Safe for Sensitive Skin, Contains Naturally Derived Ingredients, Multi-Surface Cleaner",P-60WIP-AP-GRA,P-60WIP-AP-GRA,P-60WIP-AP-GRA,1,850056298063,12.0,RDZ Units per Case (no Target PO/plan casepack),,Cleaning,WIPES,False,False,exact,Target MANUFACTURER_STYLE/VENDOR_STYLE_ID == RDZ Item # (TCIN absent from dim_product),2025-01-11,2026-01-24,,2026-09-01,0.0,0.0,0.0,1,0,13598.0,12.0,READY_FOR_LAUNCH,2024-04-28 07:00:00,True,True,False,False,False,category inferred from Target dept 3 (not in dim_product) | NOT in dim_product (is_in_target) | biom_sku from Target LaunchPad export shared 2026-09-07
89854825,003-02-0228,Biom Refillable Plant-Based Wipes Dispenser - Sand,P-DIS-TAN,P-DIS-TAN,P-DIS-TAN,1,850036134428,6.0,orders.VENDOR_CASEPACK_Q,6.0,Dispensers,Full Size,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2025-01-11,2026-09-01,2026-08-30,2026-09-01,20614.0,14676.0,13200.0,9822,3444,696.0,6.0,READY_FOR_LAUNCH,2024-04-28 07:00:00,True,True,True,True,True,
89854826,003-02-3616,Biom Plant Based Refillable All Purpose Wipes - Santal Escape - 60ct,P-60WIP-AP-STL,P-60WIP-AP-STL,P-60WIP-AP-STL,1,850056298094,12.0,orders.VENDOR_CASEPACK_Q,12.0,Cleaning,APC,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2025-01-11,2026-09-01,2026-08-30,2026-09-01,33226.0,25356.0,29508.0,24596,3900,31140.0,12.0,READY_FOR_LAUNCH,2024-04-28 07:00:00,True,True,True,True,True,
93197977,003-02-6532,Biom Plant Based Refillable All Purpose Wipes - Neroli Dream - 60ct,P-60WIP-AP-NER,P-60WIP-AP-NER,P-60WIP-AP-NER,1,850056298391,12.0,orders.VENDOR_CASEPACK_Q,12.0,Cleaning,APC,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2025-04-19,2026-09-01,2026-08-30,2026-09-01,11922.0,9456.0,9876.0,20036,1224,39109.0,12.0,READY_FOR_LAUNCH,2025-04-27 07:00:00,True,True,True,True,True,
93197978,003-02-1775,Biom Refillable Wipe Dispenser,P-DIS-YEL,,,1,,,,,Cleaning,,False,False,unmapped,,,,,2025-04-12,0.0,0.0,0.0,0,0,,,,,False,True,False,False,False,category inferred from Target dept 3 (not in dim_product) | NOT in dim_product (is_in_target) | in inventory feed but NEVER sold
93197979,003-02-4440,Biom Plant Based Refillable All Purpose Wipes - Fragrance Free - 60ct,P-60WIP-AP-FRA,P-60WIP-AP-FRA,P-60WIP-AP-FRA,1,850056298407,12.0,orders.VENDOR_CASEPACK_Q,12.0,Cleaning,APC,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2025-04-26,2026-09-01,2026-08-30,2026-09-01,32084.0,23160.0,22752.0,16490,7848,10847.0,12.0,READY_FOR_LAUNCH,2025-04-27 07:00:00,True,True,True,True,True,
94643458,003-02-0381,"Biom Refillable Wipes Dispenser - Hunter Green: BPA-Free, Silicone Material",P-DIS-DGR,P-DIS-DGR,P-DIS-DGR,1,850036134152,6.0,orders.VENDOR_CASEPACK_Q,6.0,Dispensers,Full Size,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2025-05-03,2026-09-01,2026-08-30,2026-09-01,258.0,150.0,114.0,18,60,1034.0,6.0,READY_FOR_LAUNCH,2025-04-27 07:00:00,True,True,True,True,True,
94643459,003-02-7872,"Biom Refillable Wipes Dispenser - Black: BPA-Free, Silicone, Cleaning Tools and Accessories",P-DIS-BLK,P-DIS-BLK,P-DIS-BLK,1,850036134138,6.0,orders.VENDOR_CASEPACK_Q,6.0,Dispensers,Full Size,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2025-05-03,2026-09-01,2026-08-30,2026-09-01,609.0,336.0,162.0,18,114,2776.0,12.0,READY_FOR_LAUNCH,2025-04-27 07:00:00,True,True,True,True,True,casepack mismatch: Target 6 vs RDZ Units per Case 12
94643460,003-02-6264,"Biom Refillable Wipes Dispenser - Seafoam: BPA-Free, Silicone, 8 Inch Height",P-DIS-LGR,P-DIS-LGR,P-DIS-LGR,1,850036134145,6.0,orders.VENDOR_CASEPACK_Q,6.0,Dispensers,Full Size,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2025-05-03,2026-09-01,2026-08-30,2026-09-01,549.0,402.0,228.0,25,108,9352.0,6.0,READY_FOR_LAUNCH,2025-04-27 07:00:00,True,True,True,True,True,
94723685,003-02-0418,"Biom Fraser Fir All-Purpose Cleaning Wipes Refill - 60ct: Removes Dirt, Grease, Multi-Surface Use",P-60WIP-AP-FIR,P-60WIP-AP-FIR,P-60WIP-AP-FIR,1,850056298810,12.0,RDZ Units per Case (no Target PO/plan casepack),,Cleaning,APC,False,False,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2025-11-01,2026-08-01,,2026-09-01,2.0,0.0,0.0,12,0,1456.0,12.0,READY_FOR_LAUNCH,2025-11-09 08:00:00,True,True,False,False,False,RDZ inbound: No Replenshiment qty No Replenishment
94723686,003-02-9463,Biom Peppermint All-Purpose Cleaning Wipes Refill - 60ct,P-60WIP-AP-PEP,P-60WIP-AP-PEP,P-60WIP-AP-PEP,1,850056298803,12.0,RDZ Units per Case (no Target PO/plan casepack),,Cleaning,APC,False,False,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2025-11-01,2026-08-15,,2026-09-01,0.0,0.0,0.0,0,0,1596.0,12.0,READY_FOR_LAUNCH,2025-11-09 08:00:00,True,True,False,False,False,RDZ inbound: No Replenshiment qty No Replenishment
94723687,003-02-0736,"Biom Mini Refillable Wipe Dispenser - Bone: BPA-Free, Silicone, 6 Height",P-6DIS-WHI,P-6DIS-WHI,P-6DIS-WHI,1,850056298315,6.0,RDZ Units per Case (no Target PO/plan casepack),,Dispensers,Mini,False,False,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2025-11-08,2026-08-22,,2026-09-01,-12.0,0.0,0.0,0,0,123.0,6.0,READY_FOR_LAUNCH,2025-11-09 08:00:00,True,True,False,False,False,
94723688,003-02-9612,Biom Refillable Plant-Based Wipes Dispenser - Terracotta,P-DIS-TER,P-DIS-TER,P-DIS-TER,1,850056298155,6.0,dly_po_plan_tcin.VENDOR_CASE_PACK_Q,,Dispensers,Full Size,True,False,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2025-11-08,2026-08-30,,2026-09-01,41.0,0.0,0.0,25,0,13412.0,6.0,READY_FOR_LAUNCH,2025-11-09 08:00:00,True,True,False,True,True,RDZ inbound: Healthy INV qty 
94723689,003-02-6222,"Biom Tres Vanille All-Purpose Cleaning Mini Wipes - 40ct: Refill Pouch, Removes Dirt",P-40WIP-6IN-AP-VAN,P-40WIP-6IN-AP-VAN,P-40WIP-6IN-AP-VAN,1,850056298841,12.0,RDZ Units per Case (no Target PO/plan casepack),,Cleaning,APC,True,False,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2025-11-08,2026-08-31,,2026-09-01,7.0,0.0,0.0,12,0,806.0,12.0,READY_FOR_LAUNCH,2025-11-09 08:00:00,True,True,False,False,False,dim_product.is_discontinued=True | RDZ inbound: No Replenshiment qty No Replenshiment
94799734,007-07-0096,"Biom 99% Water Hypoallergenic Baby Starter Kit - White - Fragrance Free - 120 wipes: Face, Hands, Nose, Whole Body, Diaper Area",K-DIS-2BAB-WHI,K-DIS-2BAB-WHI,K-DIS-2BAB-WHI,1,850078481078,4.0,orders.VENDOR_CASEPACK_Q,4.0,Personal Care,Baby,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2026-03-14,2026-09-01,2026-08-31,2026-09-01,9827.0,5852.0,1832.0,13434,288,3018.0,4.0,READY_FOR_LAUNCH,2026-03-15 07:00:00,True,True,True,True,True,"style variants on Target feeds: K-DIS-2BAB | RDZ inbound: TBD qty 10,300"
94799736,007-07-1897,"Biom 99% Water Hypoallergenic Baby Starter Kit - Seafoam Green - Fragrance Free - 120ct: Refillable, Alcohol-Free, Aloe & Vitamin E",K-DIS-2BAB-LGR,K-DIS-2BAB-LGR,K-DIS-2BAB-LGR,1,850078481085,4.0,orders.VENDOR_CASEPACK_Q,4.0,Personal Care,Baby,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2026-04-25,2026-09-01,2026-07-27,2026-09-01,7468.0,9332.0,0.0,8577,0,10242.0,4.0,READY_FOR_LAUNCH,2026-05-24 07:00:00,True,True,True,True,True,style variants on Target feeds: K-DIS-2BAB
94799737,007-07-3543,"Biom 99% Water Hypoallergenic Baby Wipes - Fragrance Free - 60ct: Alcohol-Free, Contains Aloe, Refill Pouch",P-60WIP-BAB-FRA,P-60WIP-BAB-FRA,P-60WIP-BAB-FRA,1,850056298957,12.0,orders.VENDOR_CASEPACK_Q,12.0,Personal Care,Baby,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2026-03-14,2026-09-01,2026-08-31,2026-09-01,46349.0,20160.0,6288.0,32730,1380,170555.0,12.0,READY_FOR_LAUNCH,2026-03-15 07:00:00,True,True,True,True,True,style variants on Target feeds: P-60WIP-BA
94799738,007-07-5306,"Biom 99% Water Hypoallergenic Baby Starter Kit - Lilac - Fragrance Free - 120ct: Refillable Container, Contains Aloe, Contains Vitamin E",K-DIS-2BAB-PUR,K-DIS-2BAB-PUR,K-DIS-2BAB-PUR,1,850078481092,6.0,orders.VENDOR_CASEPACK_Q,6.0,Personal Care,Baby,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2026-05-02,2026-09-01,2026-07-27,2026-09-01,4755.0,4562.0,0.0,8859,0,15069.0,4.0,READY_FOR_LAUNCH,2026-05-24 07:00:00,True,True,True,True,True,multiple VENDOR_CASEPACK/SHIPPACK values on POs: 6|4 | casepack mismatch: Target 6 vs RDZ Units per Case 4 | multiple VENDOR_CASEPACK/SHIPPACK values on POs: 6|4 | style variants on Target feeds: K-DIS-2BAB
94799739,007-07-9942,"Biom 99% Water Hypoallergenic Baby Wipes -Fragrance Free - 240ct: Face, Hands, Nose, Whole Body, Diaper Area",K-60WIP-BAB-FRA-4PK,K-60WIP-BAB-FRA-4PK,K-60WIP-BAB-FRA-4PK,1,850056298964,3.0,orders.VENDOR_CASEPACK_Q,3.0,Personal Care,Baby,True,True,exact,Target MANUFACTURER_STYLE == dim_product.sku == RDZ Item #,2026-03-14,2026-09-01,2026-08-31,2026-09-01,19254.0,11781.0,2112.0,25541,792,71679.0,3.0,READY_FOR_LAUNCH,2026-03-15 07:00:00,True,True,True,True,True,style variants on Target feeds: K-60WIP-BA | RDZ inbound: TBD qty 
