lead_days,n,n_weeks,wape,bias,exact,within10,p10,p90,chain_wape
-6,318,15,1.0,-1.0,0.0,0.0,36.99999999999999,2488.593932088638,1.0
-5,318,15,1.0,-1.0,0.0,0.0,36.99999999999999,2488.593932088638,1.0
-4,318,15,1.0,-1.0,0.0,0.0,36.99999999999999,2488.593932088638,1.0
-3,340,16,1.0,-1.0,0.0,0.0,31.0,2376.7344975735805,1.0
-2,340,16,1.0,-1.0,0.0,0.0,31.0,2376.7344975735805,1.0
-1,342,16,0.6588624125903211,-0.5808716290779631,0.2777777777777778,0.37719298245614036,0.9956493469132159,1966.586733428823,0.5854410549606552
0,343,16,0.11963411320419899,-0.013472597308253249,0.5072886297376094,0.8600583090379009,0.9172709848926449,1.0483997746622071,0.10594801723516462
1,345,16,0.17529349134082706,-0.02392016813712714,0.13333333333333333,0.6231884057971014,0.8167689085749409,1.1766505589070384,0.13220557980136308
2,345,16,0.24452528434139822,-0.0011645381497152427,0.0463768115942029,0.40869565217391307,0.6238554483181056,1.309856658940475,0.1495987888803243
3,344,16,0.3000072090456887,0.016974529887039798,0.0755813953488372,0.3430232558139535,0.5144891747081037,1.474437185693858,0.17185255837940652
4,355,16,0.4108656954788193,0.054483749147391715,0.022535211267605635,0.23943661971830985,0.2968813082136499,1.6555662934579116,0.23139927576817929
5,363,16,0.5370905400684305,0.06963383593321096,0.03305785123966942,0.14049586776859505,0.1738477851800672,2.1617242016111913,0.26859795152194044
6,361,16,0.5344453748426488,-0.00945494069173566,0.01662049861495845,0.11634349030470914,0.13513513513513511,2.5596214511040993,0.2430002939072473
7,361,16,0.5558839676369303,0.01212783301632017,0.036011080332409975,0.12742382271468145,0.14285714285714288,2.4843845682792387,0.2556105784427352
8,361,16,0.5739370816673968,0.008110176399802584,0.0332409972299169,0.11911357340720222,0.1515151515151515,2.521441889372278,0.2429808849380854
9,361,16,0.5940392282993862,0.023947895235929884,0.030470914127423823,0.11634349030470914,0.14543114543114546,2.5132408575031535,0.24862057683456348
10,360,16,0.6100433097283299,0.048242379206894066,0.04722222222222222,0.125,0.13927458008497165,2.644586493405311,0.25765406562449744
11,344,15,0.5859994002791009,0.0016982481229889167,0.014534883720930232,0.11046511627906977,0.1317605300810525,2.6311878723112816,0.19483144382806464
12,345,15,0.5877812633351401,0.03430807201264027,0.008695652173913044,0.10434782608695652,0.09698671171455385,2.783259168120853,0.2160927030112909
13,348,15,0.6152732766673971,0.048733089600608945,0.011494252873563218,0.10632183908045977,0.07407642416317395,2.8725482800645894,0.19989158891438985
14,346,15,0.6210427070478739,0.05715513165027045,0.017341040462427744,0.12716763005780346,0.073177902094863,2.798392012742206,0.20705075714763513
15,346,15,0.6342625162904956,0.05796533151879318,0.023121387283236993,0.11271676300578035,0.06745570754964095,2.8771512225449896,0.2145732178486166
16,346,15,0.6377945263934861,0.05176341010529715,0.02023121387283237,0.10982658959537572,0.06979750135379297,2.714285714285714,0.22879640628784295
17,347,15,0.6420329385170748,0.028293563380119253,0.03170028818443804,0.13256484149855907,0.06783846753249871,2.782309701228948,0.19447391790743537
18,327,14,0.6245436572911739,0.026240463801865396,0.01834862385321101,0.08868501529051988,0.07935631644387241,2.7001460700615385,0.20769809215393759
