tcin,ship_week,receipt_week,units,purchase_order_id,ship_begin_d,sku,description,casepack
95285660,2026-09-13,2026-09-20,4944.0,10002007019,2026-09-18,P-60WIP-FLU-FRA,Biom Flushable Personal Wipes Fragrance Free - 120ct,12.0
95285660,2026-09-13,2026-09-27,18576.0,10002007019,2026-09-18,P-60WIP-FLU-FRA,Biom Flushable Personal Wipes Fragrance Free - 120ct,12.0
95285660,2026-09-13,2026-10-04,2496.0,10002007019,2026-09-18,P-60WIP-FLU-FRA,Biom Flushable Personal Wipes Fragrance Free - 120ct,12.0
95285662,2026-09-13,2026-09-20,3120.0,10002007019,2026-09-18,K-DIS-2FLU-WHI,Biom White Flushable One Handed Kit Personal Wipes Unscented - 120ct,4.0
95285662,2026-09-13,2026-09-27,10400.0,10002007019,2026-09-18,K-DIS-2FLU-WHI,Biom White Flushable One Handed Kit Personal Wipes Unscented - 120ct,4.0
95285662,2026-09-13,2026-10-04,1560.0,10002007019,2026-09-18,K-DIS-2FLU-WHI,Biom White Flushable One Handed Kit Personal Wipes Unscented - 120ct,4.0
1011278742,2026-09-27,2026-10-04,18792.0,10002039231,2026-10-03,P-20WIP-SAN-BER-TRV,Biom Sanitizing Go-Pack Holiday Bergamot Bloom - Hand Wipes - 20ct,24.0
1011278742,2026-09-27,2026-10-11,44712.0,10002039231,2026-10-03,P-20WIP-SAN-BER-TRV,Biom Sanitizing Go-Pack Holiday Bergamot Bloom - Hand Wipes - 20ct,24.0
1011278742,2026-09-27,2026-10-18,8472.0,10002039231,2026-10-03,P-20WIP-SAN-BER-TRV,Biom Sanitizing Go-Pack Holiday Bergamot Bloom - Hand Wipes - 20ct,24.0
1011278742,2026-10-25,2026-11-01,9000.0,10002049747,2026-10-30,P-20WIP-SAN-BER-TRV,Biom Sanitizing Go-Pack Holiday Bergamot Bloom - Hand Wipes - 20ct,24.0
1011278742,2026-10-25,2026-11-08,18168.0,10002049747,2026-10-30,P-20WIP-SAN-BER-TRV,Biom Sanitizing Go-Pack Holiday Bergamot Bloom - Hand Wipes - 20ct,24.0
1011278742,2026-10-25,2026-11-15,3528.0,10002049747,2026-10-30,P-20WIP-SAN-BER-TRV,Biom Sanitizing Go-Pack Holiday Bergamot Bloom - Hand Wipes - 20ct,24.0
1012188490,2026-09-20,2026-09-20,7032.0,10002047888,2026-09-21,P-30WIP-LIT-FRA,Biom Little Mess Baby Wipes Go-Pack Unscented - 30ct,24.0
1012188490,2026-09-20,2026-09-27,20640.0,10002047888,2026-09-21,P-30WIP-LIT-FRA,Biom Little Mess Baby Wipes Go-Pack Unscented - 30ct,24.0
1012188490,2026-09-20,2026-10-04,2928.0,10002047888,2026-09-21,P-30WIP-LIT-FRA,Biom Little Mess Baby Wipes Go-Pack Unscented - 30ct,24.0
1012188491,2026-09-20,2026-09-20,6480.0,10002047888,2026-09-21,P-30WIP-BAB-FRA,Biom Baby Wipes Go-Pack Unscented - 30ct,24.0
1012188491,2026-09-20,2026-09-27,18000.0,10002047888,2026-09-21,P-30WIP-BAB-FRA,Biom Baby Wipes Go-Pack Unscented - 30ct,24.0
1012188491,2026-09-20,2026-10-04,2520.0,10002047888,2026-09-21,P-30WIP-BAB-FRA,Biom Baby Wipes Go-Pack Unscented - 30ct,24.0
