tcin,month_start,expected_po_units,planned_forward_po_units,pos_sim,plan_share,n_weeks,expected_ship_units,planned_forward_ship_units,on_hand_start,on_hand_end,pos_forecast_units,pos_candidates,pos_units,drawdown_release,wos_end,order_to_sales,step_up_month,month_index,stream,grade,band_pct,confidence,low,high,sku,description,item_group,casepack,item_state,month,flags,source_mix
89854821,2026-09-01,8706.0,0.0,7565.0647138508175,1.0,4.0,7764.0,0.0,11516.0,12051.0,8105.426479125876,runrate_8wk 0.59 | owner_velocity 0.41,8105.0,601.0,6.2,1.07,,0.0,replenishment,B,0.3,B · good · ±30%,5435.0,10093.0,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,6.0,READY_FOR_LAUNCH,Sep-26,,plan 100% / controller 0%
89854821,2026-10-01,7920.0,,,,,7920.0,,,,,,,,,,,,planned_forward,C,0.5,C · directional · ±50%,3960.0,11880.0,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,6.0,READY_FOR_LAUNCH,Oct-26,PLANNED_FORWARD,planned_forward
89854821,2026-10-01,9741.0,,,,,9741.0,,,,,,,,,,,,planned_launch,D,0.7,D · plan-based · ±70%,2922.0,16560.0,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,6.0,READY_FOR_LAUNCH,Oct-26,PLANNED_LAUNCH,planned_launch
89854821,2026-10-01,11004.0,7920.0,7565.0647138508175,0.75,4.0,14004.0,7920.0,12051.0,13786.0,8375.607361763405,runrate_8wk 0.59 | owner_velocity 0.41,8376.0,2628.0,7.1,1.31,,1.0,replenishment,B,0.3,B · good · ±30%,9803.0,18205.0,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,6.0,READY_FOR_LAUNCH,Oct-26,,plan 75% / controller 25%
89854821,2026-11-01,7680.0,0.0,9456.330892313521,0.0,5.0,6331.0,0.0,13786.0,23521.0,8105.426479125876,runrate_8wk 0.59 | owner_velocity 0.41,8105.0,-425.0,12.1,0.95,,2.0,replenishment,C,0.5,C · directional · ±50%,3166.0,9496.0,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,6.0,READY_FOR_LAUNCH,Nov-26,,plan 0% / controller 100%
89854821,2026-12-01,5660.0,0.0,7565.0647138508175,0.0,4.0,5543.0,0.0,23521.0,21429.0,8375.607361763405,runrate_8wk 0.59 | owner_velocity 0.41,8376.0,-2716.0,11.0,0.68,,3.0,replenishment,C,0.5,C · directional · ±50%,2772.0,8314.0,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,6.0,READY_FOR_LAUNCH,Dec-26,,plan 0% / controller 100%
89854821,2027-01-01,7776.0,0.0,9456.330892313523,0.0,5.0,7632.0,0.0,21429.0,19292.0,8375.607361763405,runrate_8wk 0.59 | owner_velocity 0.41,8376.0,-600.0,9.9,0.93,,4.0,replenishment,C,0.5,C · directional · ±50%,3816.0,11448.0,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,6.0,READY_FOR_LAUNCH,Jan-27,,plan 0% / controller 100%
89854821,2027-02-01,6643.0,0.0,7565.064713850817,0.0,4.0,6563.0,0.0,19292.0,18108.0,7565.0647138508175,runrate_8wk 0.59 | owner_velocity 0.41,7565.0,-922.0,9.3,0.88,,5.0,replenishment,C,0.5,C · directional · ±50%,3282.0,9844.0,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,6.0,READY_FOR_LAUNCH,Feb-27,,plan 0% / controller 100%
89854821,2027-03-01,7021.0,0.0,7641.64293163925,0.0,4.0,6848.0,0.0,18108.0,17183.0,8375.607361763405,runrate_8wk 0.59 | owner_velocity 0.41,8376.0,-1355.0,8.8,0.84,,6.0,replenishment,C,0.5,C · directional · ±50%,3424.0,10272.0,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,6.0,READY_FOR_LAUNCH,Mar-27,,plan 0% / controller 100%
89854821,2027-04-01,8244.0,0.0,8279.794786639995,0.0,4.0,10106.0,0.0,17183.0,16250.0,8871.208657010193,runrate_8wk 0.59 | owner_velocity 0.41,8871.0,-627.0,8.3,0.93,,7.0,replenishment,D,0.7,D · plan-based · ±70%,3032.0,17180.0,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,6.0,READY_FOR_LAUNCH,Apr-27,,plan 0% / controller 100%
89854821,2027-05-01,10447.0,0.0,10349.744636093044,0.0,5.0,8359.0,0.0,16250.0,16293.0,9166.9168552555,runrate_8wk 0.59 | owner_velocity 0.41,9167.0,1280.0,8.4,1.14,,8.0,replenishment,D,0.7,D · plan-based · ±70%,2508.0,14210.0,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,6.0,READY_FOR_LAUNCH,May-27,,plan 0% / controller 100%
89854821,2027-06-01,8339.0,0.0,8279.794866834294,0.0,4.0,8344.0,0.0,16293.0,16367.0,8871.208657010193,runrate_8wk 0.59 | owner_velocity 0.41,8871.0,-532.0,8.4,0.94,,9.0,replenishment,D,0.7,D · plan-based · ±70%,2503.0,14185.0,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,6.0,READY_FOR_LAUNCH,Jun-27,,plan 0% / controller 100%
89854821,2027-07-01,8322.0,0.0,8279.795869263033,0.0,4.0,10405.0,0.0,16367.0,16422.0,9166.9168552555,runrate_8wk 0.59 | owner_velocity 0.41,9167.0,-845.0,8.4,0.91,,10.0,replenishment,D,0.7,D · plan-based · ±70%,3122.0,17688.0,P-DIS-EUC,Biom Refillable Plant-Based Wipes Dispenser - Eucalyptus,D3-C2,6.0,READY_FOR_LAUNCH,Jul-27,,plan 0% / controller 100%
